ano_de_exercicio;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;valor_despesa_empenhada;valor_despesa_liquidada;valor_pago_financeiro;valor_liquidado_rp;valor_pago_rp
2026;LEMG;2041;LOTERIA DO ESTADO DE MINAS GERAIS;487714,72;465927,16;403385,91;34744,58;34003,33
2026;MG INVESTE;4621;FUNDO DE INVESTIMENTO DO ESTADO DE MINAS GERAIS;;;;0,0;0,0
2026;OGE;1101;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS;1470240,61;1148501,48;1059661,92;94459,97;93457,72
2026;PCMG;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;227713631,65;159821101,08;140370459,82;46213714,52;45618269,72
2026;PGJ;1091;PROCURADORIA GERAL DE JUSTICA;247769511,9;171583086,64;148455072,82;84705341,82;81649718,54
2026;PMMG;1251;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;470859807,6;286806136,12;247481339,89;233046073,43;203759986,58
2026;SCC;1721;SECRETARIA DE ESTADO DA CASA CIVIL;1053263,69;986509,17;879915,6;225243,01;339875,11
2026;SEAPA;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;48769714,39;37321659,27;12315550,05;17418729,6;24007604,14
2026;SEC. GERAL;1631;SECRETARIA-GERAL;1531035,25;1339534,3;1174697,82;34378,25;34378,25
2026;SECOM;1711;SECRETARIA DE ESTADO DE COMUNICACAO SOCIAL;79240117,42;61207825,05;56330153,4;65829586,85;62325560,87
2026;SECULT;1271;SECRETARIA DE ESTADO DE CULTURA E TURISMO;18157837,9;13805343,64;11462805,51;674995,91;953727,6
2026;SEDE;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;241829996,88;11296169,21;10020087,47;43678750,03;41347759,35
2026;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;24492913,0;17979986,08;15354718,98;17124490,42;28232024,37
2026;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;901624442,56;624890374,8;602694192,4;149702930,39;345403493,61
2026;SEF;1191;SECRETARIA DE ESTADO DE FAZENDA;176598655,34;117102002,37;101884928,43;60953895,09;65319782,01
2026;SEGOV;1491;SECRETARIA DE ESTADO DE GOVERNO;28747378,64;26089575,55;24103573,63;4983225,57;16167056,04
2026;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;51214047,71;26261364,04;23008300,5;30104506,35;87096685,52
2026;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;563893084,78;409768610,58;379489706,4;137517834,24;146091676,13
2026;SEMAD;1371;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;26620317,74;22886494,79;20335492,82;4788552,39;8286832,28
2026;SEPLAG;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;278128293,35;197675101,7;177613043,12;72384710,87;98263630,39
2026;TCEMG;1021;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;92197802,11;67308724,47;50448377,81;34226175,48;29952557,14
2026;TJMMG;1051;TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS;8608111,04;7468721,44;6663973,57;5330446,31;4783218,36
2026;TV MINAS;2211;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;4888035,82;4155155,28;2664310,36;624962,68;593188,1
2026;UEMG;2351;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;61473058,69;44586552,67;39824524,81;20764040,49;19975106,13
2026;UNIMONTES;2311;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;50207924,64;35984399,94;32175332,83;25448738,58;23458625,39
2026;UTRAMIG;2281;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS;2343525,26;1826706,26;1606511,41;294468,9;263905,44
